id,city,lat,lng,state/territory,population
152,Perth,-31.95224,115.861397,Western Australia,1532000
153,Peterborough,-32.97205,138.840729,South Australia,1689
154,Pine Creek,-13.82077,131.832947,Northern Territory,665
155,Port Augusta West,-32.483333,137.75,South Australia,13897
156,Port Denison,-29.283333,114.916667,Western Australia,1213
157,Port Douglas,-16.483829,145.467255,Queensland,3000
158,Port Hedland,-20.312149,118.610588,Western Australia,14288
159,Port Lincoln,-34.72625,135.87442,South Australia,13630
160,Port Macquarie,-31.43084,152.908936,New South Wales,48547
161,Port Pirie,-33.191761,138.017456,South Australia,12506
162,Portland,-38.352612,141.605743,Victoria,11808
163,Proserpine,-20.4011,148.5802,Queensland,3976
164,Queanbeyan,-35.354931,149.231995,New South Wales,32602
165,Queenstown,-42.080502,145.556458,Tasmania,2352
166,Quilpie,-26.61348,144.269485,Queensland,560
167,Ravensthorpe,-33.583031,120.046883,Western Australia,1101
168,Richmond,-20.73243,143.143555,Queensland,296
169,Richmond North,-33.581169,150.719421,New South Wales,13880
170,Rockhampton,-23.38032,150.505951,Queensland,65850
171,Roebourne,-20.772289,117.146477,Western Australia,19260
172,Roma,-26.56741,148.787506,Queensland,5496
173,Sale,-38.11095,147.068024,Victoria,22486
174,Scone,-32.05014,150.868927,New South Wales,4624
175,Seymour,-37.02655,145.139236,Victoria,3693
176,Shepparton,-36.38047,145.398666,Victoria,33550
177,Singleton,-32.567421,151.166031,New South Wales,13813
178,Smithton,-40.845868,145.124975,Tasmania,4202
179,South Grafton,-29.7,152.95,New South Wales,9955
180,South Ingham,-18.65,146.166667,Queensland,6127
181,South Melbourne,-37.833333,144.966667,Victoria,4170000
182,Southern Cross,-31.22677,119.323761,Western Australia,187
183,Stawell,-37.05632,142.780884,Victoria,6991
184,Streaky Bay,-32.79924,134.211594,South Australia,1060
185,Sunbury,-37.577419,144.726074,Victoria,29925
186,Swan Hill,-35.3383,143.552652,Victoria,9276
187,Sydney,-33.861481,151.205475,New South Wales,4630000
188,Taree,-31.91099,152.453873,New South Wales,44182
189,Thargomindah,-27.99498,143.823914,Queensland,203
190,Theodore,-24.94743,150.075287,Queensland,246
191,Three Springs,-29.533609,115.760529,Western Australia,190
192,Tom Price,-22.69408,117.787651,Western Australia,2723
193,Toowoomba,-27.56056,151.953857,Queensland,92800
194,Townsville,-19.26639,146.805695,Queensland,138954
195,Traralgon,-38.195278,146.541504,Victoria,18226
196,Tumby Bay,-34.375061,136.103333,South Australia,1791
197,Tumut,-35.300159,148.225052,New South Wales,6526
198,Tweed Heads,-28.17561,153.542007,New South Wales,33065
199,Ulladulla,-35.359058,150.472473,New South Wales,9250
200,Victor Harbor,-35.550419,138.621536,South Australia,7760
201,Wagga Wagga,-35.125771,147.353745,New South Wales,55381
202,Wagin,-33.308941,117.343277,Western Australia,1598
203,Wallaroo,-33.938808,137.633652,South Australia,2779
204,Wangaratta,-36.358459,146.320557,Victoria,14022
205,Warrnambool,-38.38176,142.487991,Victoria,29928
206,Warwick,-28.219009,152.034378,Queensland,12347
207,Weipa,-12.62346,141.87883,Queensland,2830
208,West Tamworth,-31.10625,150.909356,New South Wales,38551
209,Whyalla,-33.032681,137.564835,South Australia,22559
210,Wilcannia,-31.56031,143.377045,New South Wales,442
211,Windorah,-25.42224,142.656597,Queensland,158
212,Winton,-22.381849,143.042404,Queensland,1157
213,Wollongong,-34.424,150.893448,New South Wales,260914
214,Wonthaggi,-38.605862,145.593552,Victoria,5985
215,Woomera,-31.19981,136.832581,South Australia,450
216,Yamba,-29.43545,153.360306,New South Wales,1806
217,Yeppoon,-23.126829,150.744064,Queensland,10769
218,Young,-34.313499,148.301071,New South Wales,7501
219,Yulara,-25.245291,130.980545,Northern Territory,930
